id, name, type, weaponType
802, Recipe: Kidney Pie, Consumable, None
803, Recipe: Kidney Stone, Consumable, None
804, Recipe: Kidney Stone, Consumable, None
805, Recipe: Leverpastej, Consumable, None
806, Recipe: Liver Patty Sandwich, Consumable, None
807, Recipe: Mac'n'Cheese, Consumable, None
808, Recipe: Maki, Consumable, None
809, Recipe: Marshmallows, Consumable, None
810, Recipe: Mashed Potatoes, Consumable, None
811, Recipe: Mochi, Consumable, None
812, Recipe: Chocolate Mudcake, Consumable, None
813, Recipe: Mushroom Omelette, Consumable, None
814, Recipe: Fried Mushroom , Consumable, None
815, Recipe: Fried Mushroom , Consumable, None
816, Recipe: Mushroom Soup, Consumable, None
817, Recipe: Mushroom Soup, Consumable, None
818, Recipe: Mushroom Soup, Consumable, None
819, Recipe: Mushroom Skewer, Consumable, None
820, Recipe: Mystery Meat, Consumable, None
821, Recipe: Mystery Meat, Consumable, None
822, Recipe: Nashville Hot Chicken, Consumable, None
823, Recipe: Nigiri, Consumable, None
824, Recipe: Omelette, Consumable, None
825, Recipe: Omelette, Consumable, None
826, Recipe: Omelette, Consumable, None
827, Recipe: Onigiri, Consumable, None
828, Recipe: Peanut Butter, Consumable, None
829, Recipe: Pölsa, Consumable, None
830, Recipe: Pölsa, Consumable, None
831, Recipe: Porridge, Consumable, None
832, Recipe: Poutine, Consumable, None
833, Recipe: Ramen, Consumable, None
834, Recipe: Raclette, Consumable, None
835, Recipe: Rhubarb Pie, Consumable, None
836, Recipe: Rhubarb Porridge, Consumable, None
837, Recipe: Puffed Rice Cakes, Consumable, None
838, Recipe: Butter Sandwich, Consumable, None
839, Recipe: Sashimi, Consumable, None
840, Recipe: Sashimi, Consumable, None
841, Recipe: Spicy Sausage, Consumable, None
842, Recipe: Spicy Sausage, Consumable, None
843, Recipe: Spicy Sausage, Consumable, None
844, Recipe: Sausage On Stick, Consumable, None
845, Bites & bytes, Consumable, None
846, Car Stereo, Misc, None
847, Craw Guano, Misc, None
848, Diamond Ring, Misc, None
849, Drivers License, Misc, None
850, DVD Player, Misc, None
851, Famous Painting, Misc, None
852, Fancy Watch, Misc, None
853, Fine China, Misc, None
854, Flatscreen TV, Misc, None
855, Gaming Laptop, Misc, None
856, Gold Chain, Misc, None
857, Golden Figurine, Misc, None
858, Golden Ticket, Misc, None
859, MiniDisc Player, Misc, None
860, MP3 Player, Misc, None
861, Old Vintage, Misc, None
862, Ornamental Vase, Misc, None
863, Poker Chips, Misc, None
864, Silver Spoon, Misc, None
865, Shav'Wa Soap, Misc, None
866, Smartphone, Misc, None
867, Soul Resin, Misc, None
868, The Cost, Misc, None
869, Arbiter 2, Weapon, Shotgun
870, Arbiter 2, Weapon, Shotgun
871, Augusta, Weapon, Shotgun
872, .357 Balthazar, Weapon, Revolver
873, Beck 8, Weapon, Pistol
875, Bo, Weapon, Melee
876, Breacher 8, Weapon, Shotgun
877, Bronco 89, Weapon, Pistol
878, Burner Phone, Gadget, Throwable
885, Catacoil Rapid X, Weapon, AssaultRifle
886, Corpsemaker, Weapon, AssaultRifle
888, Cryogenic Grenade, Gadget, Throwable
890, D4RT, Weapon, Sniper
891, Deathstar PG, Weapon, SMG
892, P38 Dirk, Weapon, Pistol
893, Dolphin 99, Weapon, Sniper
894, Drifter 9, Weapon, SMG
895, Duhar, Weapon, LMG
896, Dynamite, Gadget, Throwable
898, Farsight, Weapon, Rifle
899, Ferryman, Weapon, SMG
900, Flicker, Weapon, Pistol
901, Flock 76, Weapon, Shotgun
909, Gravekeeper, Weapon, Pistol
916, Impala Gravita, Weapon, Sniper
917, Jar of Love, Gadget, Throwable
918, Katana, Weapon, Melee
919, Knop .22, Weapon, Rifle
920, M11A2 Fisk, Weapon, AssaultRifle
921, Majordome, Weapon, Shotgun
922, 1889 Mario, Weapon, Shotgun
923, Molotov Cocktail, Gadget, Throwable
925, Mossman, Weapon, Shotgun
926, Neuraxis F22, Weapon, LMG
928, Nunchaku, Weapon, Melee
929, Palehorse Topclipper, Weapon, Revolver
930, M182 Pierre-Fusil, Weapon, Rifle
931, Pineapple Grenade, Gadget, Throwable
932, Ploika Compact, Weapon, SMG
933, Jar of Poison, Gadget, Throwable
934, Proximity Mine, Gadget, Throwable
935, Ramshack, Weapon, Rifle
936, Rektor 100rd, Weapon, LMG
938, Rokua .308, Weapon, Sniper
939, Sai, Weapon, Melee
940, Salamander, Weapon, Pistol
942, Snowball, Gadget, Throwable
943, Snut .38, Weapon, Revolver
944, Socom 9, Weapon, Pistol
945, Star & Witness, Weapon, Pistol
946, Stick Grenade, Gadget, Throwable
947, Sulfur Grenade, Gadget, Throwable
948, Tailor Marksman MKII, Weapon, Rifle
949, M3 Termite, Weapon, SMG
950, Throwing Knife, Gadget, Throwable
952, Type 80 Typhoon, Weapon, AssaultRifle
953, Unknown, Weapon, Pistol
954, Valet, Weapon, SMG
955, Vrede, Weapon, SMG
956, Wakizashi, Weapon, Melee
959, Wyatt PULSAR, Weapon, Revolver
960, Wyatt PULSAR, Weapon, Revolver
961, Stamp, Consumable, None
962, Baptismal Font, Misc, None
963, Bulk Ammo Box, Misc, None
964, Chrismatory, Misc, None
965, Gun Cabinet, Misc, None
966, Snake Basket, Misc, None
967, Longboy, Weapon, Sniper
968, Toilet Paper, Misc, None
969, Toilet, Misc, None
970, Small Golden Wall Frame, Misc, None
971, Withered Wood Wall Frame, Misc, None
972, Cherry Wood Wall Frame, Misc, None
973, Luxurious Wall Frame, Misc, None
974, Holoreality Projector, Misc, None
975, Chrismatory Cost Reset, Misc, None
976, Delivery Demon Cost Reset, Misc, None
977, Delivery Demon, Misc, None
978, Hell 'N' Back, Weapon, Pistol
979, Wingman, Weapon, AssaultRifle
980, Additional Banish for Endless, Consumable, None
981, Additional Choice Draw for Endless, Consumable, None
982, Additional Re-roll for Endless, Consumable, None
983, Warpig, Weapon, LMG
984, Cavalier, Weapon, Pistol
985, Cash Money Grand, Consumable, None
986, Chat-Pardeur 98, Weapon, LMG
987, Songbird, Weapon, SMG
988, Socom ACR, Weapon, AssaultRifle
989, SulfCola, Consumable, None
990, Pilk, Consumable, None
991, Coffin, Misc, None
992, Left Wall Mount, Misc, None
993, Center Wall Mount, Misc, None
994, Right Wall Mount, Misc, None
995, Laser Sight, Attachment, None
996, Laser Sight, Attachment, None
997, Laser Sight, Attachment, None
998, Laser Sight, Attachment, None
999, Laser Sight, Attachment, None
1000, Laser Sight, Attachment, None
1001, Laser Sight, Attachment, None
1002, Laser Sight, Attachment, None
1003, Laser Sight, Attachment, None
1004, Laser Sight, Attachment, None
1005, Laser Sight, Attachment, None
1006, Laser Sight, Attachment, None
1007, Terrier URB., Weapon, Pistol
1008, Blackwater, Weapon, Revolver
1009, Chimera Rapid, Weapon, SMG
1010, CYB47, Weapon, AssaultRifle
1011, Death's Toll, Weapon, Revolver
1012, Money Stack, Gadget, Throwable
